Year,Birr Avg Max Temp (Deg C),Birr Avg Min Temp (Deg C),Birr Highest Temp (Deg C),Birr Lowest Temp (Deg C),Birr Mean Temp (Deg C)
2007M06,18.6,10.3,25.6,5.6,14.5
2007M07,18.5,10.7,21,6.4,14.6
2007M08,18.8,11.2,23.6,7.3,15
2007M09,17.4,9.5,22,-1.1,13.5
2007M10,15.3,8,17.9,-1,11.7
2007M11,11.6,5.9,15.7,-2.7,8.8
2007M12,10,3.9,15.2,-1.1,7
2008M01,9.6,3.5,14.1,-3.9,6.6
2008M02,10,1.6,14.9,-6.2,5.8
2008M03,9.9,2.4,12.2,-2.6,6.2
2008M04,12.3,3.6,16.4,-0.6,8
2008M05,18.2,8.7,25,2.8,13.5
2008M06,17.5,8.8,23.4,3.3,13.2
2008M07,19.1,11.9,24.6,6.4,15.5
2008M08,18.5,12.6,21.7,7.6,15.6
2008M09,16.6,8.6,19.1,2,12.6
2008M10,12.9,5.7,17,-1.8,9.3
2008M11,9.7,4.3,12.7,-4,7
2008M12,7.8,1.2,12.3,-4.5,4.5
2009M01,7.4,1.1,12.2,-6.5,4.3
2009M02,8.3,2.1,11.3,-3.6,5.2
2009M03,11.4,3.3,15.8,-1.1,7.4
2009M04,13.2,5.2,17.2,0.6,9.2
2009M05,15.6,7.5,24.4,2.4,11.6
2009M06,20.1,10.2,27.5,3.4,15.2
2009M07,18.8,11.4,22.1,7.3,15.1
2009M08,18.7,12.1,21.5,8.3,15.4
2009M09,17.1,8.9,20.8,3.1,13
